HOTEL	ROOM_TYPE	ROOM_TYPE_CODE	MAIN	CLASS	MAX_PAX	MAX_AD	MAX_CH
Althea	MAISONETTE 1 ROOM+HALL	M2	AP	AP	3	None	None
Althea	MAISONETTE 2 ROOMS	M4	M4	M4	4	None	None
Althea	DOUBLE ROOM	DB	R	R	4	None	None
Althea	DOUBLE ROOM (INTERCONN.DOOR)	DBI	 	R	3	None	None
Arabela Beach	BIG APPARTMENT PARK VIEW	A22	A4	A22	5	None	None
Arabela Beach	DOUBLE ROOM + KTCHENBOX	A4	AP	AP	4	None	None
Arabela Beach	APP, KITCHEN, SEAVIEW	H22SEA	A22	H22	5	None	None
Arabela Beach	DOUBLE ROOM	DB	R	R	4	None	None
Arabela Beach	DOUBLE ROOM PARK LOW PRICE	DBPN	 	R	3	None	None
Arabela Beach	TWO BEDS, SIDESEAVIEW	H12FSE	 	R	4	None	None
Arabela Beach	TWO BEDS, PANORAMA	H12PAN	 	R	4	None	None
Arabela Beach	TWO BEDS, TOP FLOOR	H12TOP	 	R	4	None	None
Arabela Beach	DOUBLE ROOM + K.BOX	A2	 	RK	4	None	None
Arabela Beach	DOUBLE RENOVATED	DBL	RL	RL	3	None	None
Arabela Beach	DOUBLE RENOVATED NO-BALK	DBN	 	RS	3	None	None
Arabela Beach	DOUBLE RENOVATED SEASIDE	DBS	 	RS	4	None	None
Boryana	APPARTMENT, TWO BEDROOMS + HALL	A4	A4	A4	6	None	None
Boryana	APPARTMENT ONE BEDROOM	A2	AP	AP	4	None	None
Boryana	DOUBLE ROOM SEA VIEW	DB	R	R	4	None	None
Boryana	DOUBLE ROOM (INTERCONN.DOOR)	DBI	 	R	3	None	None
Boryana	DOUBLE ROOM ONE BED1.40 + SOFA1.60	DBL	 	R	3	None	None
Boryana	FRENCH BED	SG	 	R	3	None	None
Boryana	DOUBLE ROOM PARK VIEW	DBP	RP	RP	3	None	None
Boryana	DOUBLE ROOM PARK LOW PRICE	DBPN	 	RP	3	None	None
Boryana	FRENCH BED PARK VIEW	SGP	 	RP	3	None	None
Paradise Blue	APPARTMENT SEA VIEW	A2	A2	A2	4	2	2
Paradise Blue	VIP APPARTMENT SEA VIEW	A2VIP	A2VIP	A2VIP	4	2	2
Paradise Blue	APPARTMENT PARK VIEW	A2P	 	AP	4	2	2
Paradise Blue	VIP DOUBLE ROOM SEA VIEW	DBVIP	DBVIP	DBVIP	4	2	2
Paradise Blue	TERRACE  POOL ROOM	POOL	POOL	POOL	4	2	2
Paradise Blue	DOUBLE ROOM SEA VIEW	DB	R	R	4	2	2
Paradise Blue	DOUBLE ROOM SEASIDE	DBS	 	RK	4	None	None
Paradise Blue	VIP DOUBLE ROOM PARK VIEW	DBPVIP	DBPVIP	RP	2	None	None
Paradise Blue	DOUBLE ROOM PARK VIEW	DBP	RP	RP	4	2	2
Paradise Blue	FRENCH BED	SG	 	RS	2	None	None
Paradise Blue	FRENCH BED PARK VIEW	SGP	 	RS	2	None	None
Paradise Blue	STUDIO SEA VIEW	ST	ST	ST	4	2	2
Paradise Blue	STUDIO SEA VIEW	ST	STVIP	ST	4	2	2
Paradise Blue	VIP STUDIO SEA VIEW	STVIP	 	ST	4	2	2
Amelia	Executive apartment Park side (2+2, 3+1)	A2PVIP	 	A2PVIP	4	3	1
Amelia	 APP, two bedrooms + living room; 2 balconiew; 2 WC; shower; bath. (4+0; 3+2)	A4N	 	A4	5	4	1
Amelia	Deluxe apartment Park side (2+2, 3+1)	A2P	 	AP	4	3	1
Amelia	Executive room Sea side (2+2, 3+0)	DBVIP	 	DBVIP	3	2	2
Amelia	Deluxe room Sea side (2+2, 3+0)	DB	R	R	3	2	2
Amelia	Deluxe room Park side (2+2, 3+0)	DBP	 	RP	3	2	2
Amelia	Double room Garden view (2+2;3+1)	DBS	 	RS	3	2	2
Kaliakra Mare	APPARTMENT 1 BEDROOM + HALL	A2	AP	AP	4	None	None
Kaliakra Mare	DOUBLE ROOM	DB	R	R	4	None	None
Kaliakra Mare	DOUBLE ROOM (INTERCONN.DOOR)	DBI	 	R	3	None	None
Kaliakra Mare	DOUBLE, SEASIDE, (BUNKBEDS-OPTIONAL)	DBN	 	R	3	None	None
Kaliakra Mare	FRENCH BED	SG	 	R	2	None	None
Kaliakra Mare	FRENCH BED PARK VIEW	SGP	 	R	3	None	None
Kaliakra Mare	DOUBLE ROOM PARK LOW PRICE	DBPN	RP	RP	3	None	None
Elitsa	APPARTMENT 1 BED ROOM	A2	AP	AP	4	None	None
Elitsa	DOUBLE ROOM SEA VIEW	DB	R	R	3	None	None
Elitsa	DOUBLE ROOM (INTERCONN.DOOR)	DBI	 	R	3	None	None
Elitsa	FRENCH BED	SG	 	R	3	None	None
Elitsa	DOUBLE ROOM BUNK BEDS	DBN	R22	R22	4	None	None
Elitsa	DOUBLE ROOM PARK VIEW	DBP	RP	RP	3	None	None
Elitsa	DOUBLE ROOM PARK LOW PRICE	DBPN	 	RP	3	None	None
Flamingo	BIG APP, KITCHEN, 3 EXTRA BEDS	A22-3X	A22	A22	5	None	None
Flamingo	BIG APP, KITCHEN, POOL VIEW	A22POL	 	A22	5	None	None
Flamingo	SMALL APP, 3 EXTRA BEDS	A12-3X	 	AP	5	None	None
Flamingo	MAISONETTE 2 ROOMS	M4	M4	M4	5	None	None
Flamingo	TWO BEDS+2 EXTRA	H12-2X	R	R	4	None	None
Flamingo	TWO BEDS POOL VIEW	H12POL	 	R	4	None	None
Flamingo	FRENCH BED	SG	RS	RS	2	1	1
Flamingo	FRENCH BED LOW COST	SGP	 	RS	1	None	None
Flamingo Grand	PENTHOUSE	PENT	 	A4	4	4	None
Flamingo Grand	PENTHOUSE CORNER LUX	PENTCO	 	A4L	4	4	None
Flamingo Grand	Executive Studio	STEXEC	AP	AP	4	3	3
Flamingo Grand	Corner Suite	SUCORN	CORN	CORN	4	None	None
Flamingo Grand	Apartment Grand Superior	GRAP	GRAP	GRAP	4	None	None
Flamingo Grand	Maisonettes Grand Superior	GRME	GRME	GRME	6	None	None
Flamingo Grand	Studio Standard	ST	R	R	4	3	3
Flamingo Grand	Deluxe Studio	STDELX	STDELX	STDELX	4	3	3
Flamingo Grand	STUDIO SUPERIOR	STSUP	 	STSUP	5	0	0
Flamingo Grand	Panorama Superior Suite	SUPAN	SU	SU	4	None	None
Gergana	APPARTMENT 1 BED ROOM	A2	A2	A2	4	None	None
Gergana	APPARTMENT, TWO BEDROOMS + HALL	A4	A4	A4	6	None	None
